[2017-02-24 00:13:31] select id,name,value from at_sysconfig where enable = 1 and id='SynDebug'
[2017-02-24 00:13:32] [同步监测商品]启动成功,每天09点下载
[2017-08-30 14:33:00] [更新关键词商品]启动成功,每天00点下载
[2017-09-25 17:52:49] [同步ebayMessage]启动成功,每天17点下载
[2017-09-25 17:52:50] [同步ebayMessage]本次共有[1]个店铺需下载Message,启用[1]个线程进行处理.
[2017-09-25 17:54:08] 下载店铺[allroot]Message共16条
[2017-09-25 17:54:08] 开始下载店铺[allroot]Message第1条
[2017-09-25 17:54:09] 下载店铺[allroot]Message第1条主表成功
[2017-09-25 17:54:09] 下载店铺[allroot]Message第1条细表成功
[2017-09-25 17:54:09] 开始下载店铺[allroot]Message第2条
[2017-09-25 17:54:09] 下载店铺[allroot]Message第2条主表成功
[2017-09-25 17:54:09] 下载店铺[allroot]Message第2条细表成功
[2017-09-25 17:54:09] 开始下载店铺[allroot]Message第3条
[2017-09-25 17:54:10] 下载店铺[allroot]Message第3条主表成功
[2017-09-25 17:54:10] 下载店铺[allroot]Message第3条细表成功
[2017-09-25 17:54:10] 开始下载店铺[allroot]Message第4条
[2017-09-25 17:54:11] 下载店铺[allroot]Message第4条主表成功
[2017-09-25 17:54:11] 下载店铺[allroot]Message第4条细表成功
[2017-09-25 17:54:11] 开始下载店铺[allroot]Message第5条
[2017-09-25 17:54:12] 下载店铺[allroot]Message第5条主表成功
[2017-09-25 17:54:12] 下载店铺[allroot]Message第5条细表成功
[2017-09-25 17:54:12] 开始下载店铺[allroot]Message第6条
[2017-09-25 17:54:14] 下载店铺[allroot]Message第6条主表成功
[2017-09-25 17:54:14] 下载店铺[allroot]Message第6条细表成功
[2017-09-25 17:54:14] 开始下载店铺[allroot]Message第7条
[2017-09-25 17:54:14] 下载店铺[allroot]Message第7条主表成功
[2017-09-25 17:54:14] 下载店铺[allroot]Message第7条细表成功
[2017-09-25 17:54:14] 开始下载店铺[allroot]Message第8条
[2017-09-25 17:54:15] 下载店铺[allroot]Message第8条主表成功
[2017-09-25 17:54:15] 下载店铺[allroot]Message第8条细表成功
[2017-09-25 17:54:15] 开始下载店铺[allroot]Message第9条
[2017-09-25 17:54:16] 下载店铺[allroot]Message第9条主表成功
[2017-09-25 17:54:16] 下载店铺[allroot]Message第9条细表成功
[2017-09-25 17:54:16] 开始下载店铺[allroot]Message第10条
[2017-09-25 17:54:17] 下载店铺[allroot]Message第10条主表成功
[2017-09-25 17:54:17] 下载店铺[allroot]Message第10条细表成功
[2017-09-25 17:54:17] 开始下载店铺[allroot]Message第11条
[2017-09-25 17:54:17] 下载店铺[allroot]Message第11条主表成功
